d,date,wm_yr_wk,weekday,wday,month,year,d,snap_CA,snap_TX,snap_WI
d_387,2012-02-19,11204,Sunday,2,2,2012,d_387,0,0,0
d_388,2012-02-20,11204,Monday,3,2,2012,d_388,0,0,0
d_389,2012-02-21,11204,Tuesday,4,2,2012,d_389,0,0,0
d_390,2012-02-22,11204,Wednesday,5,2,2012,d_390,0,0,0
d_391,2012-02-23,11204,Thursday,6,2,2012,d_391,0,0,0
d_392,2012-02-24,11204,Friday,7,2,2012,d_392,0,0,0
d_393,2012-02-25,11205,Saturday,1,2,2012,d_393,0,0,0
d_394,2012-02-26,11205,Sunday,2,2,2012,d_394,0,0,0
d_395,2012-02-27,11205,Monday,3,2,2012,d_395,0,0,0
d_396,2012-02-28,11205,Tuesday,4,2,2012,d_396,0,0,0
d_397,2012-02-29,11205,Wednesday,5,2,2012,d_397,0,0,0
d_398,2012-03-01,11205,Thursday,6,3,2012,d_398,1,1,0
d_399,2012-03-02,11205,Friday,7,3,2012,d_399,1,0,1
d_400,2012-03-03,11206,Saturday,1,3,2012,d_400,1,1,1
d_401,2012-03-04,11206,Sunday,2,3,2012,d_401,1,0,0
d_402,2012-03-05,11206,Monday,3,3,2012,d_402,1,1,1
d_403,2012-03-06,11206,Tuesday,4,3,2012,d_403,1,1,1
d_404,2012-03-07,11206,Wednesday,5,3,2012,d_404,1,1,0
d_405,2012-03-08,11206,Thursday,6,3,2012,d_405,1,0,1
d_406,2012-03-09,11206,Friday,7,3,2012,d_406,1,1,1
d_407,2012-03-10,11207,Saturday,1,3,2012,d_407,1,0,0
d_408,2012-03-11,11207,Sunday,2,3,2012,d_408,0,1,1
d_409,2012-03-12,11207,Monday,3,3,2012,d_409,0,1,1
d_410,2012-03-13,11207,Tuesday,4,3,2012,d_410,0,1,0
d_411,2012-03-14,11207,Wednesday,5,3,2012,d_411,0,0,1
d_412,2012-03-15,11207,Thursday,6,3,2012,d_412,0,1,1
d_413,2012-03-16,11207,Friday,7,3,2012,d_413,0,0,0
d_414,2012-03-17,11208,Saturday,1,3,2012,d_414,0,0,0
d_415,2012-03-18,11208,Sunday,2,3,2012,d_415,0,0,0
d_416,2012-03-19,11208,Monday,3,3,2012,d_416,0,0,0
d_417,2012-03-20,11208,Tuesday,4,3,2012,d_417,0,0,0
d_418,2012-03-21,11208,Wednesday,5,3,2012,d_418,0,0,0
d_419,2012-03-22,11208,Thursday,6,3,2012,d_419,0,0,0
d_420,2012-03-23,11208,Friday,7,3,2012,d_420,0,0,0
d_421,2012-03-24,11209,Saturday,1,3,2012,d_421,0,0,0
d_422,2012-03-25,11209,Sunday,2,3,2012,d_422,0,0,0
d_423,2012-03-26,11209,Monday,3,3,2012,d_423,0,0,0
d_424,2012-03-27,11209,Tuesday,4,3,2012,d_424,0,0,0
d_425,2012-03-28,11209,Wednesday,5,3,2012,d_425,0,0,0
d_426,2012-03-29,11209,Thursday,6,3,2012,d_426,0,0,0
d_427,2012-03-30,11209,Friday,7,3,2012,d_427,0,0,0
d_428,2012-03-31,11210,Saturday,1,3,2012,d_428,0,0,0
d_429,2012-04-01,11210,Sunday,2,4,2012,d_429,1,1,0
d_430,2012-04-02,11210,Monday,3,4,2012,d_430,1,0,1
d_431,2012-04-03,11210,Tuesday,4,4,2012,d_431,1,1,1
d_432,2012-04-04,11210,Wednesday,5,4,2012,d_432,1,0,0
d_433,2012-04-05,11210,Thursday,6,4,2012,d_433,1,1,1
d_434,2012-04-06,11210,Friday,7,4,2012,d_434,1,1,1
d_435,2012-04-07,11211,Saturday,1,4,2012,d_435,1,1,0
d_436,2012-04-08,11211,Sunday,2,4,2012,d_436,1,0,1
d_437,2012-04-09,11211,Monday,3,4,2012,d_437,1,1,1
d_438,2012-04-10,11211,Tuesday,4,4,2012,d_438,1,0,0
d_439,2012-04-11,11211,Wednesday,5,4,2012,d_439,0,1,1
d_440,2012-04-12,11211,Thursday,6,4,2012,d_440,0,1,1
d_441,2012-04-13,11211,Friday,7,4,2012,d_441,0,1,0
d_442,2012-04-14,11212,Saturday,1,4,2012,d_442,0,0,1
d_443,2012-04-15,11212,Sunday,2,4,2012,d_443,0,1,1
d_444,2012-04-16,11212,Monday,3,4,2012,d_444,0,0,0
d_445,2012-04-17,11212,Tuesday,4,4,2012,d_445,0,0,0
d_446,2012-04-18,11212,Wednesday,5,4,2012,d_446,0,0,0
d_447,2012-04-19,11212,Thursday,6,4,2012,d_447,0,0,0
d_448,2012-04-20,11212,Friday,7,4,2012,d_448,0,0,0
d_449,2012-04-21,11213,Saturday,1,4,2012,d_449,0,0,0
d_450,2012-04-22,11213,Sunday,2,4,2012,d_450,0,0,0
d_451,2012-04-23,11213,Monday,3,4,2012,d_451,0,0,0
d_452,2012-04-24,11213,Tuesday,4,4,2012,d_452,0,0,0
d_453,2012-04-25,11213,Wednesday,5,4,2012,d_453,0,0,0
d_454,2012-04-26,11213,Thursday,6,4,2012,d_454,0,0,0
d_455,2012-04-27,11213,Friday,7,4,2012,d_455,0,0,0
d_456,2012-04-28,11214,Saturday,1,4,2012,d_456,0,0,0
d_457,2012-04-29,11214,Sunday,2,4,2012,d_457,0,0,0
d_458,2012-04-30,11214,Monday,3,4,2012,d_458,0,0,0
d_459,2012-05-01,11214,Tuesday,4,5,2012,d_459,1,1,0
d_460,2012-05-02,11214,Wednesday,5,5,2012,d_460,1,0,1
d_461,2012-05-03,11214,Thursday,6,5,2012,d_461,1,1,1
d_462,2012-05-04,11214,Friday,7,5,2012,d_462,1,0,0
d_463,2012-05-05,11215,Saturday,1,5,2012,d_463,1,1,1
d_464,2012-05-06,11215,Sunday,2,5,2012,d_464,1,1,1
d_465,2012-05-07,11215,Monday,3,5,2012,d_465,1,1,0
d_466,2012-05-08,11215,Tuesday,4,5,2012,d_466,1,0,1
d_467,2012-05-09,11215,Wednesday,5,5,2012,d_467,1,1,1
d_468,2012-05-10,11215,Thursday,6,5,2012,d_468,1,0,0
d_469,2012-05-11,11215,Friday,7,5,2012,d_469,0,1,1
d_470,2012-05-12,11216,Saturday,1,5,2012,d_470,0,1,1
d_471,2012-05-13,11216,Sunday,2,5,2012,d_471,0,1,0
d_472,2012-05-14,11216,Monday,3,5,2012,d_472,0,0,1
d_473,2012-05-15,11216,Tuesday,4,5,2012,d_473,0,1,1
d_474,2012-05-16,11216,Wednesday,5,5,2012,d_474,0,0,0
d_475,2012-05-17,11216,Thursday,6,5,2012,d_475,0,0,0
d_476,2012-05-18,11216,Friday,7,5,2012,d_476,0,0,0
d_477,2012-05-19,11217,Saturday,1,5,2012,d_477,0,0,0
d_478,2012-05-20,11217,Sunday,2,5,2012,d_478,0,0,0
d_479,2012-05-21,11217,Monday,3,5,2012,d_479,0,0,0
d_480,2012-05-22,11217,Tuesday,4,5,2012,d_480,0,0,0
d_481,2012-05-23,11217,Wednesday,5,5,2012,d_481,0,0,0
d_482,2012-05-24,11217,Thursday,6,5,2012,d_482,0,0,0
d_483,2012-05-25,11217,Friday,7,5,2012,d_483,0,0,0
d_484,2012-05-26,11218,Saturday,1,5,2012,d_484,0,0,0
d_485,2012-05-27,11218,Sunday,2,5,2012,d_485,0,0,0
d_486,2012-05-28,11218,Monday,3,5,2012,d_486,0,0,0
d_487,2012-05-29,11218,Tuesday,4,5,2012,d_487,0,0,0
d_488,2012-05-30,11218,Wednesday,5,5,2012,d_488,0,0,0
d_489,2012-05-31,11218,Thursday,6,5,2012,d_489,0,0,0
d_490,2012-06-01,11218,Friday,7,6,2012,d_490,1,1,0
d_491,2012-06-02,11219,Saturday,1,6,2012,d_491,1,0,1
d_492,2012-06-03,11219,Sunday,2,6,2012,d_492,1,1,1
d_493,2012-06-04,11219,Monday,3,6,2012,d_493,1,0,0
d_494,2012-06-05,11219,Tuesday,4,6,2012,d_494,1,1,1
d_495,2012-06-06,11219,Wednesday,5,6,2012,d_495,1,1,1
d_496,2012-06-07,11219,Thursday,6,6,2012,d_496,1,1,0
d_497,2012-06-08,11219,Friday,7,6,2012,d_497,1,0,1
d_498,2012-06-09,11220,Saturday,1,6,2012,d_498,1,1,1
d_499,2012-06-10,11220,Sunday,2,6,2012,d_499,1,0,0
d_500,2012-06-11,11220,Monday,3,6,2012,d_500,0,1,1
d_501,2012-06-12,11220,Tuesday,4,6,2012,d_501,0,1,1
d_502,2012-06-13,11220,Wednesday,5,6,2012,d_502,0,1,0
d_503,2012-06-14,11220,Thursday,6,6,2012,d_503,0,0,1
d_504,2012-06-15,11220,Friday,7,6,2012,d_504,0,1,1
d_505,2012-06-16,11221,Saturday,1,6,2012,d_505,0,0,0
d_506,2012-06-17,11221,Sunday,2,6,2012,d_506,0,0,0
d_507,2012-06-18,11221,Monday,3,6,2012,d_507,0,0,0
d_508,2012-06-19,11221,Tuesday,4,6,2012,d_508,0,0,0
d_509,2012-06-20,11221,Wednesday,5,6,2012,d_509,0,0,0
d_510,2012-06-21,11221,Thursday,6,6,2012,d_510,0,0,0
d_511,2012-06-22,11221,Friday,7,6,2012,d_511,0,0,0
d_512,2012-06-23,11222,Saturday,1,6,2012,d_512,0,0,0
d_513,2012-06-24,11222,Sunday,2,6,2012,d_513,0,0,0
d_514,2012-06-25,11222,Monday,3,6,2012,d_514,0,0,0
d_515,2012-06-26,11222,Tuesday,4,6,2012,d_515,0,0,0
d_516,2012-06-27,11222,Wednesday,5,6,2012,d_516,0,0,0
d_517,2012-06-28,11222,Thursday,6,6,2012,d_517,0,0,0
d_518,2012-06-29,11222,Friday,7,6,2012,d_518,0,0,0
d_519,2012-06-30,11223,Saturday,1,6,2012,d_519,0,0,0
d_520,2012-07-01,11223,Sunday,2,7,2012,d_520,1,1,0
d_521,2012-07-02,11223,Monday,3,7,2012,d_521,1,0,1
d_522,2012-07-03,11223,Tuesday,4,7,2012,d_522,1,1,1
d_523,2012-07-04,11223,Wednesday,5,7,2012,d_523,1,0,0
d_524,2012-07-05,11223,Thursday,6,7,2012,d_524,1,1,1
d_525,2012-07-06,11223,Friday,7,7,2012,d_525,1,1,1
d_526,2012-07-07,11224,Saturday,1,7,2012,d_526,1,1,0
d_527,2012-07-08,11224,Sunday,2,7,2012,d_527,1,0,1
d_528,2012-07-09,11224,Monday,3,7,2012,d_528,1,1,1
d_529,2012-07-10,11224,Tuesday,4,7,2012,d_529,1,0,0
d_530,2012-07-11,11224,Wednesday,5,7,2012,d_530,0,1,1
d_531,2012-07-12,11224,Thursday,6,7,2012,d_531,0,1,1
d_532,2012-07-13,11224,Friday,7,7,2012,d_532,0,1,0
d_533,2012-07-14,11225,Saturday,1,7,2012,d_533,0,0,1
d_534,2012-07-15,11225,Sunday,2,7,2012,d_534,0,1,1
d_535,2012-07-16,11225,Monday,3,7,2012,d_535,0,0,0
d_536,2012-07-17,11225,Tuesday,4,7,2012,d_536,0,0,0
d_537,2012-07-18,11225,Wednesday,5,7,2012,d_537,0,0,0
d_538,2012-07-19,11225,Thursday,6,7,2012,d_538,0,0,0
d_539,2012-07-20,11225,Friday,7,7,2012,d_539,0,0,0
d_540,2012-07-21,11226,Saturday,1,7,2012,d_540,0,0,0
d_541,2012-07-22,11226,Sunday,2,7,2012,d_541,0,0,0
d_542,2012-07-23,11226,Monday,3,7,2012,d_542,0,0,0
d_543,2012-07-24,11226,Tuesday,4,7,2012,d_543,0,0,0
d_544,2012-07-25,11226,Wednesday,5,7,2012,d_544,0,0,0
d_545,2012-07-26,11226,Thursday,6,7,2012,d_545,0,0,0
d_546,2012-07-27,11226,Friday,7,7,2012,d_546,0,0,0
d_547,2012-07-28,11227,Saturday,1,7,2012,d_547,0,0,0
d_548,2012-07-29,11227,Sunday,2,7,2012,d_548,0,0,0
d_549,2012-07-30,11227,Monday,3,7,2012,d_549,0,0,0
d_550,2012-07-31,11227,Tuesday,4,7,2012,d_550,0,0,0
d_551,2012-08-01,11227,Wednesday,5,8,2012,d_551,1,1,0
d_552,2012-08-02,11227,Thursday,6,8,2012,d_552,1,0,1
d_553,2012-08-03,11227,Friday,7,8,2012,d_553,1,1,1
d_554,2012-08-04,11228,Saturday,1,8,2012,d_554,1,0,0
d_555,2012-08-05,11228,Sunday,2,8,2012,d_555,1,1,1
d_556,2012-08-06,11228,Monday,3,8,2012,d_556,1,1,1
d_557,2012-08-07,11228,Tuesday,4,8,2012,d_557,1,1,0
d_558,2012-08-08,11228,Wednesday,5,8,2012,d_558,1,0,1
d_559,2012-08-09,11228,Thursday,6,8,2012,d_559,1,1,1
d_560,2012-08-10,11228,Friday,7,8,2012,d_560,1,0,0
d_561,2012-08-11,11229,Saturday,1,8,2012,d_561,0,1,1
d_562,2012-08-12,11229,Sunday,2,8,2012,d_562,0,1,1
d_563,2012-08-13,11229,Monday,3,8,2012,d_563,0,1,0
d_564,2012-08-14,11229,Tuesday,4,8,2012,d_564,0,0,1
d_565,2012-08-15,11229,Wednesday,5,8,2012,d_565,0,1,1
d_566,2012-08-16,11229,Thursday,6,8,2012,d_566,0,0,0
d_567,2012-08-17,11229,Friday,7,8,2012,d_567,0,0,0
d_568,2012-08-18,11230,Saturday,1,8,2012,d_568,0,0,0
d_569,2012-08-19,11230,Sunday,2,8,2012,d_569,0,0,0
d_570,2012-08-20,11230,Monday,3,8,2012,d_570,0,0,0
d_571,2012-08-21,11230,Tuesday,4,8,2012,d_571,0,0,0
d_572,2012-08-22,11230,Wednesday,5,8,2012,d_572,0,0,0
d_573,2012-08-23,11230,Thursday,6,8,2012,d_573,0,0,0
d_574,2012-08-24,11230,Friday,7,8,2012,d_574,0,0,0
d_575,2012-08-25,11231,Saturday,1,8,2012,d_575,0,0,0
d_576,2012-08-26,11231,Sunday,2,8,2012,d_576,0,0,0
d_577,2012-08-27,11231,Monday,3,8,2012,d_577,0,0,0
d_578,2012-08-28,11231,Tuesday,4,8,2012,d_578,0,0,0
d_579,2012-08-29,11231,Wednesday,5,8,2012,d_579,0,0,0
d_580,2012-08-30,11231,Thursday,6,8,2012,d_580,0,0,0
d_581,2012-08-31,11231,Friday,7,8,2012,d_581,0,0,0
d_582,2012-09-01,11232,Saturday,1,9,2012,d_582,1,1,0
d_583,2012-09-02,11232,Sunday,2,9,2012,d_583,1,0,1
d_584,2012-09-03,11232,Monday,3,9,2012,d_584,1,1,1
d_585,2012-09-04,11232,Tuesday,4,9,2012,d_585,1,0,0
d_586,2012-09-05,11232,Wednesday,5,9,2012,d_586,1,1,1
d_587,2012-09-06,11232,Thursday,6,9,2012,d_587,1,1,1
d_588,2012-09-07,11232,Friday,7,9,2012,d_588,1,1,0
d_589,2012-09-08,11233,Saturday,1,9,2012,d_589,1,0,1
d_590,2012-09-09,11233,Sunday,2,9,2012,d_590,1,1,1
d_591,2012-09-10,11233,Monday,3,9,2012,d_591,1,0,0
d_592,2012-09-11,11233,Tuesday,4,9,2012,d_592,0,1,1
d_593,2012-09-12,11233,Wednesday,5,9,2012,d_593,0,1,1
d_594,2012-09-13,11233,Thursday,6,9,2012,d_594,0,1,0
d_595,2012-09-14,11233,Friday,7,9,2012,d_595,0,0,1
d_596,2012-09-15,11234,Saturday,1,9,2012,d_596,0,1,1
d_597,2012-09-16,11234,Sunday,2,9,2012,d_597,0,0,0
d_598,2012-09-17,11234,Monday,3,9,2012,d_598,0,0,0
d_599,2012-09-18,11234,Tuesday,4,9,2012,d_599,0,0,0
d_600,2012-09-19,11234,Wednesday,5,9,2012,d_600,0,0,0
d_601,2012-09-20,11234,Thursday,6,9,2012,d_601,0,0,0
d_602,2012-09-21,11234,Friday,7,9,2012,d_602,0,0,0
d_603,2012-09-22,11235,Saturday,1,9,2012,d_603,0,0,0
d_604,2012-09-23,11235,Sunday,2,9,2012,d_604,0,0,0
d_605,2012-09-24,11235,Monday,3,9,2012,d_605,0,0,0
d_606,2012-09-25,11235,Tuesday,4,9,2012,d_606,0,0,0
d_607,2012-09-26,11235,Wednesday,5,9,2012,d_607,0,0,0
d_608,2012-09-27,11235,Thursday,6,9,2012,d_608,0,0,0
d_609,2012-09-28,11235,Friday,7,9,2012,d_609,0,0,0
d_610,2012-09-29,11236,Saturday,1,9,2012,d_610,0,0,0
d_611,2012-09-30,11236,Sunday,2,9,2012,d_611,0,0,0
d_612,2012-10-01,11236,Monday,3,10,2012,d_612,1,1,0
d_613,2012-10-02,11236,Tuesday,4,10,2012,d_613,1,0,1
d_614,2012-10-03,11236,Wednesday,5,10,2012,d_614,1,1,1
d_615,2012-10-04,11236,Thursday,6,10,2012,d_615,1,0,0
d_616,2012-10-05,11236,Friday,7,10,2012,d_616,1,1,1
d_617,2012-10-06,11237,Saturday,1,10,2012,d_617,1,1,1
d_618,2012-10-07,11237,Sunday,2,10,2012,d_618,1,1,0
d_619,2012-10-08,11237,Monday,3,10,2012,d_619,1,0,1
d_620,2012-10-09,11237,Tuesday,4,10,2012,d_620,1,1,1
d_621,2012-10-10,11237,Wednesday,5,10,2012,d_621,1,0,0
d_622,2012-10-11,11237,Thursday,6,10,2012,d_622,0,1,1
d_623,2012-10-12,11237,Friday,7,10,2012,d_623,0,1,1
d_624,2012-10-13,11238,Saturday,1,10,2012,d_624,0,1,0
d_625,2012-10-14,11238,Sunday,2,10,2012,d_625,0,0,1
d_626,2012-10-15,11238,Monday,3,10,2012,d_626,0,1,1
d_627,2012-10-16,11238,Tuesday,4,10,2012,d_627,0,0,0
d_628,2012-10-17,11238,Wednesday,5,10,2012,d_628,0,0,0
d_629,2012-10-18,11238,Thursday,6,10,2012,d_629,0,0,0
d_630,2012-10-19,11238,Friday,7,10,2012,d_630,0,0,0
d_631,2012-10-20,11239,Saturday,1,10,2012,d_631,0,0,0
d_632,2012-10-21,11239,Sunday,2,10,2012,d_632,0,0,0
d_633,2012-10-22,11239,Monday,3,10,2012,d_633,0,0,0
d_634,2012-10-23,11239,Tuesday,4,10,2012,d_634,0,0,0
d_635,2012-10-24,11239,Wednesday,5,10,2012,d_635,0,0,0
d_636,2012-10-25,11239,Thursday,6,10,2012,d_636,0,0,0
d_637,2012-10-26,11239,Friday,7,10,2012,d_637,0,0,0
d_638,2012-10-27,11240,Saturday,1,10,2012,d_638,0,0,0
d_639,2012-10-28,11240,Sunday,2,10,2012,d_639,0,0,0
d_640,2012-10-29,11240,Monday,3,10,2012,d_640,0,0,0
d_641,2012-10-30,11240,Tuesday,4,10,2012,d_641,0,0,0
d_642,2012-10-31,11240,Wednesday,5,10,2012,d_642,0,0,0
d_643,2012-11-01,11240,Thursday,6,11,2012,d_643,1,1,0
d_644,2012-11-02,11240,Friday,7,11,2012,d_644,1,0,1
d_645,2012-11-03,11241,Saturday,1,11,2012,d_645,1,1,1
d_646,2012-11-04,11241,Sunday,2,11,2012,d_646,1,0,0
d_647,2012-11-05,11241,Monday,3,11,2012,d_647,1,1,1
d_648,2012-11-06,11241,Tuesday,4,11,2012,d_648,1,1,1
d_649,2012-11-07,11241,Wednesday,5,11,2012,d_649,1,1,0
d_650,2012-11-08,11241,Thursday,6,11,2012,d_650,1,0,1
d_651,2012-11-09,11241,Friday,7,11,2012,d_651,1,1,1
d_652,2012-11-10,11242,Saturday,1,11,2012,d_652,1,0,0
d_653,2012-11-11,11242,Sunday,2,11,2012,d_653,0,1,1
d_654,2012-11-12,11242,Monday,3,11,2012,d_654,0,1,1
d_655,2012-11-13,11242,Tuesday,4,11,2012,d_655,0,1,0
d_656,2012-11-14,11242,Wednesday,5,11,2012,d_656,0,0,1
d_657,2012-11-15,11242,Thursday,6,11,2012,d_657,0,1,1
d_658,2012-11-16,11242,Friday,7,11,2012,d_658,0,0,0
d_659,2012-11-17,11243,Saturday,1,11,2012,d_659,0,0,0
d_660,2012-11-18,11243,Sunday,2,11,2012,d_660,0,0,0
d_661,2012-11-19,11243,Monday,3,11,2012,d_661,0,0,0
d_662,2012-11-20,11243,Tuesday,4,11,2012,d_662,0,0,0
d_663,2012-11-21,11243,Wednesday,5,11,2012,d_663,0,0,0
d_664,2012-11-22,11243,Thursday,6,11,2012,d_664,0,0,0
d_665,2012-11-23,11243,Friday,7,11,2012,d_665,0,0,0
d_666,2012-11-24,11244,Saturday,1,11,2012,d_666,0,0,0
d_667,2012-11-25,11244,Sunday,2,11,2012,d_667,0,0,0
d_668,2012-11-26,11244,Monday,3,11,2012,d_668,0,0,0
d_669,2012-11-27,11244,Tuesday,4,11,2012,d_669,0,0,0
d_670,2012-11-28,11244,Wednesday,5,11,2012,d_670,0,0,0
d_671,2012-11-29,11244,Thursday,6,11,2012,d_671,0,0,0
d_672,2012-11-30,11244,Friday,7,11,2012,d_672,0,0,0
d_673,2012-12-01,11245,Saturday,1,12,2012,d_673,1,1,0
d_674,2012-12-02,11245,Sunday,2,12,2012,d_674,1,0,1
d_675,2012-12-03,11245,Monday,3,12,2012,d_675,1,1,1
d_676,2012-12-04,11245,Tuesday,4,12,2012,d_676,1,0,0
d_677,2012-12-05,11245,Wednesday,5,12,2012,d_677,1,1,1
d_678,2012-12-06,11245,Thursday,6,12,2012,d_678,1,1,1
d_679,2012-12-07,11245,Friday,7,12,2012,d_679,1,1,0
d_680,2012-12-08,11246,Saturday,1,12,2012,d_680,1,0,1
d_681,2012-12-09,11246,Sunday,2,12,2012,d_681,1,1,1
d_682,2012-12-10,11246,Monday,3,12,2012,d_682,1,0,0
d_683,2012-12-11,11246,Tuesday,4,12,2012,d_683,0,1,1
d_684,2012-12-12,11246,Wednesday,5,12,2012,d_684,0,1,1
d_685,2012-12-13,11246,Thursday,6,12,2012,d_685,0,1,0
d_686,2012-12-14,11246,Friday,7,12,2012,d_686,0,0,1
d_687,2012-12-15,11247,Saturday,1,12,2012,d_687,0,1,1
d_688,2012-12-16,11247,Sunday,2,12,2012,d_688,0,0,0
d_689,2012-12-17,11247,Monday,3,12,2012,d_689,0,0,0
d_690,2012-12-18,11247,Tuesday,4,12,2012,d_690,0,0,0
d_691,2012-12-19,11247,Wednesday,5,12,2012,d_691,0,0,0
d_692,2012-12-20,11247,Thursday,6,12,2012,d_692,0,0,0
d_693,2012-12-21,11247,Friday,7,12,2012,d_693,0,0,0
d_694,2012-12-22,11248,Saturday,1,12,2012,d_694,0,0,0
d_695,2012-12-23,11248,Sunday,2,12,2012,d_695,0,0,0
d_696,2012-12-24,11248,Monday,3,12,2012,d_696,0,0,0
d_697,2012-12-25,11248,Tuesday,4,12,2012,d_697,0,0,0
d_698,2012-12-26,11248,Wednesday,5,12,2012,d_698,0,0,0
d_699,2012-12-27,11248,Thursday,6,12,2012,d_699,0,0,0
d_700,2012-12-28,11248,Friday,7,12,2012,d_700,0,0,0
d_701,2012-12-29,11249,Saturday,1,12,2012,d_701,0,0,0
d_702,2012-12-30,11249,Sunday,2,12,2012,d_702,0,0,0
d_703,2012-12-31,11249,Monday,3,12,2012,d_703,0,0,0
d_704,2013-01-01,11249,Tuesday,4,1,2013,d_704,1,1,0
d_705,2013-01-02,11249,Wednesday,5,1,2013,d_705,1,0,1
d_706,2013-01-03,11249,Thursday,6,1,2013,d_706,1,1,1
d_707,2013-01-04,11249,Friday,7,1,2013,d_707,1,0,0
d_708,2013-01-05,11250,Saturday,1,1,2013,d_708,1,1,1
d_709,2013-01-06,11250,Sunday,2,1,2013,d_709,1,1,1
d_710,2013-01-07,11250,Monday,3,1,2013,d_710,1,1,0
d_711,2013-01-08,11250,Tuesday,4,1,2013,d_711,1,0,1
d_712,2013-01-09,11250,Wednesday,5,1,2013,d_712,1,1,1
d_713,2013-01-10,11250,Thursday,6,1,2013,d_713,1,0,0
d_714,2013-01-11,11250,Friday,7,1,2013,d_714,0,1,1
d_715,2013-01-12,11251,Saturday,1,1,2013,d_715,0,1,1
d_716,2013-01-13,11251,Sunday,2,1,2013,d_716,0,1,0
d_717,2013-01-14,11251,Monday,3,1,2013,d_717,0,0,1
d_718,2013-01-15,11251,Tuesday,4,1,2013,d_718,0,1,1
d_719,2013-01-16,11251,Wednesday,5,1,2013,d_719,0,0,0
d_720,2013-01-17,11251,Thursday,6,1,2013,d_720,0,0,0
d_721,2013-01-18,11251,Friday,7,1,2013,d_721,0,0,0
d_722,2013-01-19,11252,Saturday,1,1,2013,d_722,0,0,0
d_723,2013-01-20,11252,Sunday,2,1,2013,d_723,0,0,0
d_724,2013-01-21,11252,Monday,3,1,2013,d_724,0,0,0
d_725,2013-01-22,11252,Tuesday,4,1,2013,d_725,0,0,0
d_726,2013-01-23,11252,Wednesday,5,1,2013,d_726,0,0,0
d_727,2013-01-24,11252,Thursday,6,1,2013,d_727,0,0,0
d_728,2013-01-25,11252,Friday,7,1,2013,d_728,0,0,0
d_729,2013-01-26,11301,Saturday,1,1,2013,d_729,0,0,0
d_730,2013-01-27,11301,Sunday,2,1,2013,d_730,0,0,0
d_731,2013-01-28,11301,Monday,3,1,2013,d_731,0,0,0
d_732,2013-01-29,11301,Tuesday,4,1,2013,d_732,0,0,0
d_733,2013-01-30,11301,Wednesday,5,1,2013,d_733,0,0,0
d_734,2013-01-31,11301,Thursday,6,1,2013,d_734,0,0,0
d_735,2013-02-01,11301,Friday,7,2,2013,d_735,1,1,0
d_736,2013-02-02,11302,Saturday,1,2,2013,d_736,1,0,1
d_737,2013-02-03,11302,Sunday,2,2,2013,d_737,1,1,1
d_738,2013-02-04,11302,Monday,3,2,2013,d_738,1,0,0
d_739,2013-02-05,11302,Tuesday,4,2,2013,d_739,1,1,1
d_740,2013-02-06,11302,Wednesday,5,2,2013,d_740,1,1,1
d_741,2013-02-07,11302,Thursday,6,2,2013,d_741,1,1,0
d_742,2013-02-08,11302,Friday,7,2,2013,d_742,1,0,1
d_743,2013-02-09,11303,Saturday,1,2,2013,d_743,1,1,1
d_744,2013-02-10,11303,Sunday,2,2,2013,d_744,1,0,0
d_745,2013-02-11,11303,Monday,3,2,2013,d_745,0,1,1
d_746,2013-02-12,11303,Tuesday,4,2,2013,d_746,0,1,1
d_747,2013-02-13,11303,Wednesday,5,2,2013,d_747,0,1,0
d_748,2013-02-14,11303,Thursday,6,2,2013,d_748,0,0,1
d_749,2013-02-15,11303,Friday,7,2,2013,d_749,0,1,1
d_750,2013-02-16,11304,Saturday,1,2,2013,d_750,0,0,0
d_751,2013-02-17,11304,Sunday,2,2,2013,d_751,0,0,0
d_752,2013-02-18,11304,Monday,3,2,2013,d_752,0,0,0
d_753,2013-02-19,11304,Tuesday,4,2,2013,d_753,0,0,0
d_754,2013-02-20,11304,Wednesday,5,2,2013,d_754,0,0,0
d_755,2013-02-21,11304,Thursday,6,2,2013,d_755,0,0,0
d_756,2013-02-22,11304,Friday,7,2,2013,d_756,0,0,0
d_757,2013-02-23,11305,Saturday,1,2,2013,d_757,0,0,0
d_758,2013-02-24,11305,Sunday,2,2,2013,d_758,0,0,0
d_759,2013-02-25,11305,Monday,3,2,2013,d_759,0,0,0
d_760,2013-02-26,11305,Tuesday,4,2,2013,d_760,0,0,0
d_761,2013-02-27,11305,Wednesday,5,2,2013,d_761,0,0,0
d_762,2013-02-28,11305,Thursday,6,2,2013,d_762,0,0,0
d_763,2013-03-01,11305,Friday,7,3,2013,d_763,1,1,0
d_764,2013-03-02,11306,Saturday,1,3,2013,d_764,1,0,1
d_765,2013-03-03,11306,Sunday,2,3,2013,d_765,1,1,1
d_766,2013-03-04,11306,Monday,3,3,2013,d_766,1,0,0
d_767,2013-03-05,11306,Tuesday,4,3,2013,d_767,1,1,1
d_768,2013-03-06,11306,Wednesday,5,3,2013,d_768,1,1,1
d_769,2013-03-07,11306,Thursday,6,3,2013,d_769,1,1,0
d_770,2013-03-08,11306,Friday,7,3,2013,d_770,1,0,1
d_771,2013-03-09,11307,Saturday,1,3,2013,d_771,1,1,1
d_772,2013-03-10,11307,Sunday,2,3,2013,d_772,1,0,0
d_773,2013-03-11,11307,Monday,3,3,2013,d_773,0,1,1
